Last Layer - last_mteb_MTOPDomainClassification_en,last,1,concat,False,0.8137254901960784,mteb/MTOPDomainClassification/en,[21],en,answerdotai/ModernBERT-base


run,selection_mode,alpha,gamma,eta,k,n_cal,fusion,geo,geo_weight,test_acc,val_acc,dataset,selected_layers,model,seed,time
residual_only_a1.0_g0.5_e0.1_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,residual_only,1.0,0.5,0.1,4,64,concat,False,0.1,0.9060647514819882,0.9060647514819882,mteb/MTOPDomainClassification/en,"[14, 21, 20, 19]",answerdotai/ModernBERT-base,42,1769278201.7330568
residual_only_a1.0_g0.5_e0.1_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,residual_only,1.0,0.5,0.1,4,512,concat,False,0.1,0.9092567259461924,0.9092567259461924,mteb/MTOPDomainClassification/en,"[10, 21, 20, 18]",answerdotai/ModernBERT-base,42,1769278617.0098052
loes_a0.0_g0.0_e0.0_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.0,4,64,concat,False,0.1,0.9060647514819882,0.9060647514819882,mteb/MTOPDomainClassification/en,"[14, 21, 20, 19]",answerdotai/ModernBERT-base,42,1769261054.8582568
loes_a0.0_g0.0_e0.0_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.0,4,512,concat,False,0.1,0.9092567259461924,0.9092567259461924,mteb/MTOPDomainClassification/en,"[10, 21, 20, 18]",answerdotai/ModernBERT-base,42,1769261445.6153557
loes_a0.0_g0.0_e0.01_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.01,4,64,concat,False,0.1,0.9017327861377109,0.9017327861377109,mteb/MTOPDomainClassification/en,"[14, 19, 21, 18]",answerdotai/ModernBERT-base,42,1769261835.0342917
loes_a0.0_g0.0_e0.01_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.01,4,512,concat,False,0.1,0.9106247150022799,0.9106247150022799,mteb/MTOPDomainClassification/en,"[10, 20, 19, 21]",answerdotai/ModernBERT-base,42,1769262229.3941357
loes_a0.0_g0.0_e0.1_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.1,4,64,concat,False,0.1,0.9017327861377109,0.9017327861377109,mteb/MTOPDomainClassification/en,"[14, 19, 21, 18]",answerdotai/ModernBERT-base,42,1769262618.9814062
loes_a0.0_g0.0_e0.1_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.1,4,512,concat,False,0.1,0.9106247150022799,0.9106247150022799,mteb/MTOPDomainClassification/en,"[10, 20, 19, 21]",answerdotai/ModernBERT-base,42,1769263002.5557165
loes_a0.0_g0.0_e0.2_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.2,4,64,concat,False,0.1,0.9017327861377109,0.9017327861377109,mteb/MTOPDomainClassification/en,"[14, 19, 21, 18]",answerdotai/ModernBERT-base,42,1769263383.6296396
loes_a0.0_g0.0_e0.2_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.0,0.2,4,512,concat,False,0.1,0.9092567259461924,0.9092567259461924,mteb/MTOPDomainClassification/en,"[10, 20, 18, 21]",answerdotai/ModernBERT-base,42,1769263777.7447312
loes_a0.0_g0.1_e0.0_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.0,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 18, 21]",answerdotai/ModernBERT-base,42,1769264164.2506201
loes_a0.0_g0.1_e0.0_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.0,4,512,concat,False,0.1,0.9097127222982216,0.9097127222982216,mteb/MTOPDomainClassification/en,"[10, 15, 21, 19]",answerdotai/ModernBERT-base,42,1769264548.3954737
loes_a0.0_g0.1_e0.01_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.01,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 18, 21]",answerdotai/ModernBERT-base,42,1769264901.824778
loes_a0.0_g0.1_e0.01_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.01,4,512,concat,False,0.1,0.9097127222982216,0.9097127222982216,mteb/MTOPDomainClassification/en,"[10, 15, 21, 19]",answerdotai/ModernBERT-base,42,1769265254.7178187
loes_a0.0_g0.1_e0.1_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.1,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 18, 21]",answerdotai/ModernBERT-base,42,1769265607.39337
loes_a0.0_g0.1_e0.1_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.1,4,512,concat,False,0.1,0.9097127222982216,0.9097127222982216,mteb/MTOPDomainClassification/en,"[10, 15, 21, 19]",answerdotai/ModernBERT-base,42,1769265960.86263
loes_a0.0_g0.1_e0.2_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.2,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 18, 21]",answerdotai/ModernBERT-base,42,1769266316.587801
loes_a0.0_g0.1_e0.2_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.1,0.2,4,512,concat,False,0.1,0.9097127222982216,0.9097127222982216,mteb/MTOPDomainClassification/en,"[10, 15, 21, 19]",answerdotai/ModernBERT-base,42,1769266670.8364434
loes_a0.0_g0.5_e0.0_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.0,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 20, 21]",answerdotai/ModernBERT-base,42,1769267023.3222992
loes_a0.0_g0.5_e0.0_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.0,4,512,concat,False,0.1,0.9300045599635203,0.9300045599635203,mteb/MTOPDomainClassification/en,"[10, 15, 14, 21]",answerdotai/ModernBERT-base,42,1769267384.1416693
loes_a0.0_g0.5_e0.01_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.01,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 20, 21]",answerdotai/ModernBERT-base,42,1769267746.9247696
loes_a0.0_g0.5_e0.01_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.01,4,512,concat,False,0.1,0.9300045599635203,0.9300045599635203,mteb/MTOPDomainClassification/en,"[10, 15, 14, 21]",answerdotai/ModernBERT-base,42,1769268103.686789
loes_a0.0_g0.5_e0.1_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.1,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 20, 21]",answerdotai/ModernBERT-base,42,1769268452.2791662
loes_a0.0_g0.5_e0.1_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.1,4,512,concat,False,0.1,0.9300045599635203,0.9300045599635203,mteb/MTOPDomainClassification/en,"[10, 15, 14, 21]",answerdotai/ModernBERT-base,42,1769268799.1497993
loes_a0.0_g0.5_e0.2_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.2,4,64,concat,False,0.1,0.904468764249886,0.904468764249886,mteb/MTOPDomainClassification/en,"[14, 15, 20, 21]",answerdotai/ModernBERT-base,42,1769269146.060074
loes_a0.0_g0.5_e0.2_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.0,0.5,0.2,4,512,concat,False,0.1,0.9300045599635203,0.9300045599635203,mteb/MTOPDomainClassification/en,"[10, 15, 14, 21]",answerdotai/ModernBERT-base,42,1769269494.8574061
loes_a0.5_g0.0_e0.0_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.0,0.0,4,64,concat,False,0.1,0.9596443228454172,0.9596443228454172,mteb/MTOPDomainClassification/en,"[5, 4, 1, 0]",answerdotai/ModernBERT-base,42,1769269846.0644026
loes_a0.5_g0.0_e0.01_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.0,0.01,4,64,concat,False,0.1,0.9596443228454172,0.9596443228454172,mteb/MTOPDomainClassification/en,"[5, 4, 1, 0]",answerdotai/ModernBERT-base,42,1769270552.23318
loes_a0.5_g0.0_e0.1_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.0,0.1,4,64,concat,False,0.1,0.9596443228454172,0.9596443228454172,mteb/MTOPDomainClassification/en,"[5, 4, 1, 0]",answerdotai/ModernBERT-base,42,1769271255.2130575
loes_a0.5_g0.0_e0.2_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.0,0.2,4,64,concat,False,0.1,0.9596443228454172,0.9596443228454172,mteb/MTOPDomainClassification/en,"[5, 4, 1, 0]",answerdotai/ModernBERT-base,42,1769272076.484144
loes_a0.5_g0.1_e0.0_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.0,4,64,concat,False,0.1,0.9277245782033744,0.9277245782033744,mteb/MTOPDomainClassification/en,"[5, 15, 4, 20]",answerdotai/ModernBERT-base,42,1769272847.9842324
loes_a0.5_g0.1_e0.0_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.0,4,512,concat,False,0.1,0.9430004559963521,0.9430004559963521,mteb/MTOPDomainClassification/en,"[3, 15, 4, 21]",answerdotai/ModernBERT-base,42,1769273217.9306946
loes_a0.5_g0.1_e0.01_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.01,4,64,concat,False,0.1,0.9277245782033744,0.9277245782033744,mteb/MTOPDomainClassification/en,"[5, 15, 4, 20]",answerdotai/ModernBERT-base,42,1769273586.7832675
loes_a0.5_g0.1_e0.01_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.01,4,512,concat,False,0.1,0.9430004559963521,0.9430004559963521,mteb/MTOPDomainClassification/en,"[3, 15, 4, 21]",answerdotai/ModernBERT-base,42,1769273945.920279
loes_a0.5_g0.1_e0.1_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.1,4,64,concat,False,0.1,0.9277245782033744,0.9277245782033744,mteb/MTOPDomainClassification/en,"[5, 15, 4, 20]",answerdotai/ModernBERT-base,42,1769274299.9351342
loes_a0.5_g0.1_e0.1_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.1,4,512,concat,False,0.1,0.9409484724122207,0.9409484724122207,mteb/MTOPDomainClassification/en,"[3, 16, 4, 21]",answerdotai/ModernBERT-base,42,1769274652.9075985
loes_a0.5_g0.1_e0.2_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.2,4,64,concat,False,0.1,0.9277245782033744,0.9277245782033744,mteb/MTOPDomainClassification/en,"[5, 15, 4, 20]",answerdotai/ModernBERT-base,42,1769275004.2430942
loes_a0.5_g0.1_e0.2_k4_ncal512_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.1,0.2,4,512,concat,False,0.1,0.9252165982672138,0.9252165982672138,mteb/MTOPDomainClassification/en,"[3, 19, 16, 20]",answerdotai/ModernBERT-base,42,1769275356.2506683
loes_a0.5_g0.5_e0.0_k4_ncal64_fusionconcat_geo0_s42_ModernBERT-base_mteb_MTOPDomainClassification_en,loes,0.5,0.5,0.0,4,64,concat,False,0.1,0.9277245782033744,0.9277245782033744,mteb/MTOPDomainClassification/en,"[5, 15, 4, 20]",answerdotai/ModernBERT-base,42,1769275708.6444795
