model,dataset,seed,layer_idx,val_acc,test_acc
CLIP-B32,stanford_cars,42,11,0.4985698296231812,0.4985698296231812
CLIP-B32,stanford_cars,123,11,0.5142395224474567,0.5142395224474567
CLIP-B32,stanford_cars,456,11,0.5013058077353563,0.5013058077353563
CLIP-B32,stanford_cars,789,11,0.5143638850889193,0.5143638850889193
CLIP-B32,stanford_cars,2024,11,0.4979480164158686,0.4979480164158686
CLIP-B32,mini-imagenet,42,11,0.892,0.892
CLIP-B32,mini-imagenet,123,11,0.8921,0.8921
CLIP-B32,mini-imagenet,456,11,0.891,0.891
CLIP-B32,mini-imagenet,789,11,0.8934,0.8934
CLIP-B32,mini-imagenet,2024,11,0.8922,0.8922
CLIP-B32,stanford-dogs,42,11,0.6037296037296037,0.6037296037296037
CLIP-B32,stanford-dogs,123,11,0.603030303030303,0.603030303030303
CLIP-B32,stanford-dogs,456,11,0.6096736596736597,0.6096736596736597
CLIP-B32,stanford-dogs,789,11,0.6108391608391608,0.6108391608391608
CLIP-B32,stanford-dogs,2024,11,0.6053613053613054,0.6053613053613054
CLIP-B32,caltech-ucsd-birds-200-2011,42,11,0.1983085950983776,0.1983085950983776
CLIP-B32,caltech-ucsd-birds-200-2011,123,11,0.1929582326544701,0.1929582326544701
CLIP-B32,caltech-ucsd-birds-200-2011,456,11,0.1958923023817742,0.1958923023817742
CLIP-B32,caltech-ucsd-birds-200-2011,789,11,0.195029340697273,0.195029340697273
CLIP-B32,caltech-ucsd-birds-200-2011,2024,11,0.201415257162582,0.201415257162582
CLIP-B32,dtd,42,11,0.625531914893617,0.625531914893617
CLIP-B32,dtd,123,11,0.6292553191489362,0.6292553191489362
CLIP-B32,dtd,456,11,0.6420212765957447,0.6420212765957447
CLIP-B32,dtd,789,11,0.6148936170212767,0.6148936170212767
CLIP-B32,dtd,2024,11,0.6361702127659574,0.6361702127659574
CLIP-B32,cifar100,42,11,0.7589,0.7589
CLIP-B32,cifar100,123,11,0.7574,0.7574
CLIP-B32,cifar100,456,11,0.7587,0.7587
CLIP-B32,cifar100,789,11,0.7515,0.7515
CLIP-B32,cifar100,2024,11,0.7548,0.7548
CLIP-B32,sun397,42,11,0.6575818639798489,0.6575818639798489
CLIP-B32,sun397,123,11,0.6555667506297229,0.6555667506297229
CLIP-B32,sun397,456,11,0.6542065491183879,0.6542065491183879
CLIP-B32,sun397,789,11,0.655919395465995,0.655919395465995
CLIP-B32,sun397,2024,11,0.6600503778337532,0.6600503778337532
