model,dataset,seed,phase,selected_layers,avg_greedy_loes_score,val_acc,test_acc
CLIP-B32,stanford_cars,42,greedy_loes_top3,"[5, 10, 4]",0.7856980610328416,0.5923392612859097,0.5923392612859097
CLIP-B32,stanford_cars,123,greedy_loes_top3,"[5, 10, 4]",0.7810960316564888,0.6020395473199851,0.6020395473199851
CLIP-B32,stanford_cars,456,greedy_loes_top3,"[5, 10, 4]",0.7837324627519896,0.5978112175102599,0.5978112175102599
CLIP-B32,stanford_cars,789,greedy_loes_top3,"[5, 10, 4]",0.7858377732336521,0.6073871409028728,0.6073871409028728
CLIP-B32,stanford_cars,2024,greedy_loes_top3,"[5, 10, 4]",0.7848777167964727,0.5979355801517224,0.5979355801517224
CLIP-B32,mini-imagenet,42,greedy_loes_top3,"[8, 9, 7]",0.7011820902116597,0.9089,0.9089
CLIP-B32,mini-imagenet,123,greedy_loes_top3,"[9, 8, 7]",0.700463812953482,0.9091,0.9091
CLIP-B32,mini-imagenet,456,greedy_loes_top3,"[8, 9, 7]",0.7015904914587736,0.9103,0.9103
CLIP-B32,mini-imagenet,789,greedy_loes_top3,"[8, 9, 7]",0.7025017117460569,0.9085,0.9085
CLIP-B32,mini-imagenet,2024,greedy_loes_top3,"[8, 9, 7]",0.7006503430505594,0.9097,0.9097
CLIP-B32,stanford-dogs,42,greedy_loes_top3,"[8, 5, 7]",0.7819490378412107,0.6225815850815851,0.6225815850815851
CLIP-B32,stanford-dogs,123,greedy_loes_top3,"[8, 5, 7]",0.7845262483072778,0.6162878787878788,0.6162878787878788
CLIP-B32,stanford-dogs,456,greedy_loes_top3,"[8, 5, 7]",0.7868383385551473,0.6158216783216783,0.6158216783216783
CLIP-B32,stanford-dogs,789,greedy_loes_top3,"[8, 5, 7]",0.7832084318312506,0.6127913752913753,0.6127913752913753
CLIP-B32,stanford-dogs,2024,greedy_loes_top3,"[8, 5, 7]",0.786118465475738,0.6200174825174826,0.6200174825174826
CLIP-B32,caltech-ucsd-birds-200-2011,42,greedy_loes_top3,"[5, 4, 7]",0.8338749321798483,0.1929582326544701,0.1929582326544701
CLIP-B32,caltech-ucsd-birds-200-2011,123,greedy_loes_top3,"[5, 4, 7]",0.8365378516415755,0.1998619261304798,0.1998619261304798
CLIP-B32,caltech-ucsd-birds-200-2011,456,greedy_loes_top3,"[5, 4, 7]",0.8335854293933759,0.2103900586813945,0.2103900586813945
CLIP-B32,caltech-ucsd-birds-200-2011,789,greedy_loes_top3,"[5, 4, 7]",0.8323755910775313,0.2065930272695892,0.2065930272695892
CLIP-B32,caltech-ucsd-birds-200-2011,2024,greedy_loes_top3,"[5, 4, 7]",0.8322306098028397,0.2034863652053848,0.2034863652053848
CLIP-B32,dtd,42,greedy_loes_top3,"[9, 8, 7]",0.6102392409443658,0.7132978723404255,0.7132978723404255
CLIP-B32,dtd,123,greedy_loes_top3,"[9, 8, 7]",0.6208563136330795,0.7074468085106383,0.7074468085106383
CLIP-B32,dtd,456,greedy_loes_top3,"[9, 8, 7]",0.6085969040960159,0.7074468085106383,0.7074468085106383
CLIP-B32,dtd,789,greedy_loes_top3,"[9, 8, 7]",0.6161812803100234,0.7021276595744681,0.7021276595744681
CLIP-B32,dtd,2024,greedy_loes_top3,"[9, 8, 7]",0.6101961598248071,0.7159574468085106,0.7159574468085106
CLIP-B32,cifar100,42,greedy_loes_top3,"[8, 7, 9]",0.7431401753177246,0.8023,0.8023
CLIP-B32,cifar100,123,greedy_loes_top3,"[8, 7, 9]",0.7427268847823143,0.8067,0.8067
CLIP-B32,cifar100,456,greedy_loes_top3,"[8, 7, 9]",0.74269855596746,0.8085,0.8085
CLIP-B32,cifar100,789,greedy_loes_top3,"[8, 7, 9]",0.7429835476602117,0.8069,0.8069
CLIP-B32,cifar100,2024,greedy_loes_top3,"[8, 7, 9]",0.7425772418888906,0.805,0.805
CLIP-B32,sun397,42,greedy_loes_top3,"[10, 8, 9]",0.7281830326343576,0.7213098236775819,0.7213098236775819
CLIP-B32,sun397,123,greedy_loes_top3,"[10, 8, 9]",0.7286830860345314,0.7216624685138538,0.7216624685138538
CLIP-B32,sun397,456,greedy_loes_top3,"[10, 8, 9]",0.7281053195086619,0.7193954659949622,0.7193954659949622
CLIP-B32,sun397,789,greedy_loes_top3,"[10, 8, 9]",0.7290433076753592,0.7198488664987406,0.7198488664987406
CLIP-B32,sun397,2024,greedy_loes_top3,"[10, 8, 9]",0.7314044152541707,0.7214609571788413,0.7214609571788413
