model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,caltech-ucsd-birds-200-2011,0,0.8955092155374587,0.0017826058901846409,0.10627339035272598,768
CLIP-B32,caltech-ucsd-birds-200-2011,1,0.8831164904404432,0.001748807029798627,0.11863231658935547,768
CLIP-B32,caltech-ucsd-birds-200-2011,2,0.871592293609865,0.0017320170300081372,0.13013972342014313,768
CLIP-B32,caltech-ucsd-birds-200-2011,3,0.8546906214905903,0.001712615485303104,0.14702199399471283,768
CLIP-B32,caltech-ucsd-birds-200-2011,4,0.8440986254718155,0.0016964056994765997,0.15759778022766113,768
CLIP-B32,caltech-ucsd-birds-200-2011,5,0.8209714103722945,0.0016630847239866853,0.1806916743516922,768
CLIP-B32,caltech-ucsd-birds-200-2011,6,0.8249251465313137,0.0016391943208873272,0.17671404778957367,768
CLIP-B32,caltech-ucsd-birds-200-2011,7,0.8344338071765378,0.0016105306567624211,0.1671767234802246,768
CLIP-B32,caltech-ucsd-birds-200-2011,8,0.8448136796941981,0.0015736272325739264,0.15675994753837585,768
CLIP-B32,caltech-ucsd-birds-200-2011,9,0.8427090636687353,0.001559733529575169,0.15885066986083984,768
CLIP-B32,caltech-ucsd-birds-200-2011,10,0.8412491771159694,0.0015505197225138545,0.1603013426065445,768
CLIP-B32,caltech-ucsd-birds-200-2011,11,0.8362697924021631,0.0015420133713632822,0.16527222096920013,768
