model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,caltech-ucsd-birds-200-2011,0,0.8590570907108486,0.004137329291552305,0.14508023858070374,384
DINOv2-S,caltech-ucsd-birds-200-2011,1,0.8686590935103595,0.0042762900702655315,0.135617196559906,384
DINOv2-S,caltech-ucsd-birds-200-2011,2,0.8489570957608521,0.00416624965146184,0.15520915389060974,384
DINOv2-S,caltech-ucsd-birds-200-2011,3,0.8262613383121789,0.00392937334254384,0.177668035030365,384
DINOv2-S,caltech-ucsd-birds-200-2011,4,0.7956037914846092,0.0036395734641700983,0.20803578197956085,384
DINOv2-S,caltech-ucsd-birds-200-2011,5,0.7771368736866862,0.0034021104220300913,0.22626523673534393,384
DINOv2-S,caltech-ucsd-birds-200-2011,6,0.765940222190693,0.003218191908672452,0.23727796971797943,384
DINOv2-S,caltech-ucsd-birds-200-2011,7,0.7758019315078855,0.003158171661198139,0.22735624015331268,384
DINOv2-S,caltech-ucsd-birds-200-2011,8,0.8040384771302342,0.003106635995209217,0.19906815886497498,384
DINOv2-S,caltech-ucsd-birds-200-2011,9,0.7863281003665179,0.003030129475519061,0.21670202910900116,384
DINOv2-S,caltech-ucsd-birds-200-2011,10,0.7245910679921508,0.002751431427896023,0.27816036343574524,384
DINOv2-S,caltech-ucsd-birds-200-2011,11,0.6453593189362437,0.0024180824402719736,0.3570587635040283,384
