model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv3-S16,caltech-ucsd-birds-200-2011,0,0.9292666083201766,0.004599197767674923,0.07533258944749832,384
DINOv3-S16,caltech-ucsd-birds-200-2011,1,0.9044654618483037,0.0033104668837040663,0.09884500503540039,384
DINOv3-S16,caltech-ucsd-birds-200-2011,2,0.8666741068009287,0.0032764191273599863,0.13660231232643127,384
DINOv3-S16,caltech-ucsd-birds-200-2011,3,0.8231091187335551,0.0032381252385675907,0.1801290065050125,384
DINOv3-S16,caltech-ucsd-birds-200-2011,4,0.7963898067828268,0.0032001023646444082,0.20681029558181763,384
DINOv3-S16,caltech-ucsd-birds-200-2011,5,0.8069254744332284,0.003201662329956889,0.19627618789672852,384
DINOv3-S16,caltech-ucsd-birds-200-2011,6,0.8024210715666413,0.003201865591108799,0.20078079402446747,384
DINOv3-S16,caltech-ucsd-birds-200-2011,7,0.7942027489189059,0.0031467268709093332,0.20894397795200348,384
DINOv3-S16,caltech-ucsd-birds-200-2011,8,0.7502317850012332,0.003090274753049016,0.2528584897518158,384
DINOv3-S16,caltech-ucsd-birds-200-2011,9,0.7323041940107942,0.00300613883882761,0.27070194482803345,384
DINOv3-S16,caltech-ucsd-birds-200-2011,10,0.7056969106197357,0.0027830898761749268,0.2970861792564392,384
DINOv3-S16,caltech-ucsd-birds-200-2011,11,0.645621289499104,0.002591569907963276,0.35697028040885925,384
