model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,caltech-ucsd-birds-200-2011,0,0.9371620013844222,0.0033028170000761747,0.06614081561565399,768
DeiT-B16,caltech-ucsd-birds-200-2011,1,0.8940425021573901,0.002014639787375927,0.10797213762998581,768
DeiT-B16,caltech-ucsd-birds-200-2011,2,0.8787131847348064,0.00170631124638021,0.12299312651157379,768
DeiT-B16,caltech-ucsd-birds-200-2011,3,0.8632977874949574,0.0016660811379551888,0.13836829364299774,768
DeiT-B16,caltech-ucsd-birds-200-2011,4,0.8429545840481296,0.0016454538563266397,0.15869086980819702,768
DeiT-B16,caltech-ucsd-birds-200-2011,5,0.8227764513576403,0.0016203817212954164,0.1788439303636551,768
DeiT-B16,caltech-ucsd-birds-200-2011,6,0.7961622414877638,0.0015528289368376136,0.2053905874490738,768
DeiT-B16,caltech-ucsd-birds-200-2011,7,0.7462350082350895,0.0015135955763980746,0.2552785873413086,768
DeiT-B16,caltech-ucsd-birds-200-2011,8,0.6966908394824713,0.0014424740802496672,0.3047516345977783,768
DeiT-B16,caltech-ucsd-birds-200-2011,9,0.6587754299398512,0.001358698820695281,0.3425832688808441,768
DeiT-B16,caltech-ucsd-birds-200-2011,10,0.742282725754194,0.0013215913204476237,0.25903886556625366,768
DeiT-B16,caltech-ucsd-birds-200-2011,11,0.8004235185217112,0.0013104684185236692,0.20088694989681244,768
