model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,caltech-ucsd-birds-200-2011,0,0.92476341559086,0.0017548768082633615,0.07699146121740341,768
MAE-B16,caltech-ucsd-birds-200-2011,1,0.9230394645128399,0.001723801949992776,0.07868433743715286,768
MAE-B16,caltech-ucsd-birds-200-2011,2,0.9173863363685086,0.0017283764900639653,0.08434204012155533,768
MAE-B16,caltech-ucsd-birds-200-2011,3,0.9127073338022456,0.0017114182701334357,0.08900408446788788,768
MAE-B16,caltech-ucsd-birds-200-2011,4,0.9044653057353571,0.0017168476479128003,0.0972515419125557,768
MAE-B16,caltech-ucsd-birds-200-2011,5,0.8971728415926918,0.0017052249750122428,0.1045323833823204,768
MAE-B16,caltech-ucsd-birds-200-2011,6,0.8890002726111561,0.0016901998315006495,0.11268992722034454,768
MAE-B16,caltech-ucsd-birds-200-2011,7,0.8773911976022646,0.0016674556536599994,0.12427625805139542,768
MAE-B16,caltech-ucsd-birds-200-2011,8,0.8645042640855536,0.0016369683435186744,0.1371327042579651,768
MAE-B16,caltech-ucsd-birds-200-2011,9,0.8533727863105014,0.001643974450416863,0.14827118813991547,768
MAE-B16,caltech-ucsd-birds-200-2011,10,0.8450011154636741,0.0016313930973410606,0.156630277633667,768
MAE-B16,caltech-ucsd-birds-200-2011,11,0.8331782526802272,0.0016287274193018675,0.1684504747390747,768
