model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,0,0.9295503080356866,0.002592864679172635,0.07304255664348602,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,1,0.8999370617093518,0.0017232802929356694,0.10178621858358383,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,2,0.8707049416843802,0.0016751366201788187,0.13097019493579865,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,3,0.8428850091295317,0.0016499377088621259,0.15876492857933044,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,4,0.8172184331342578,0.0016138507053256035,0.1843954175710678,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,5,0.7976120518287644,0.001575316651724279,0.2039632648229599,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,6,0.7839105506427586,0.0015497882850468159,0.2176392376422882,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,7,0.7649160190485418,0.0015063597820699215,0.23659034073352814,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,8,0.7450207447400317,0.001469401060603559,0.2564486563205719,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,9,0.7199883741559461,0.0013898593606427312,0.28140148520469666,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,10,0.7055180590832606,0.0011323910439386964,0.2956143319606781,768
ViT-IN21k-B16,caltech-ucsd-birds-200-2011,11,0.7636435743188486,0.0009116049623116851,0.23726803064346313,768
