model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,cifar100,0,0.9093963596969843,0.008400099352002144,0.09900373965501785,768
CLIP-B32,cifar100,1,0.8965368522331119,0.008253226988017559,0.1117163747549057,768
CLIP-B32,cifar100,2,0.8831261340528727,0.008135626092553139,0.12500949203968048,768
CLIP-B32,cifar100,3,0.8676987010985613,0.00796172209084034,0.14026302099227905,768
CLIP-B32,cifar100,4,0.847476564347744,0.007691510021686554,0.16021494567394257,768
CLIP-B32,cifar100,5,0.8076027622446418,0.007332845591008663,0.19973008334636688,768
CLIP-B32,cifar100,6,0.7762571130879223,0.006963730324059725,0.2307066172361374,768
CLIP-B32,cifar100,7,0.7557664718478918,0.006591489538550377,0.25082501769065857,768
CLIP-B32,cifar100,8,0.71864630933851,0.006126812659204006,0.28748050332069397,768
CLIP-B32,cifar100,9,0.7523155361413956,0.005569055676460266,0.2532535195350647,768
CLIP-B32,cifar100,10,0.7717344355769455,0.005520765203982592,0.23378632962703705,768
CLIP-B32,cifar100,11,0.8001691326498985,0.00565289705991745,0.20548376441001892,768
