model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,cifar100,0,0.8871720507740974,0.009168148040771484,0.12199609726667404,384
DINOv2-S,cifar100,1,0.8734951848164201,0.00906949583441019,0.1355743110179901,384
DINOv2-S,cifar100,2,0.8620064407587051,0.008857756853103638,0.1468513160943985,384
DINOv2-S,cifar100,3,0.8346884967759252,0.008681145496666431,0.17399264872074127,384
DINOv2-S,cifar100,4,0.8102318365126848,0.008506404235959053,0.19827456772327423,384
DINOv2-S,cifar100,5,0.8015586324036121,0.008328873664140701,0.20677024126052856,384
DINOv2-S,cifar100,6,0.7739179590716958,0.008090720511972904,0.2341727614402771,384
DINOv2-S,cifar100,7,0.7822549296543002,0.007918278686702251,0.22566334903240204,384
DINOv2-S,cifar100,8,0.7885265778750181,0.007680220529437065,0.21915364265441895,384
DINOv2-S,cifar100,9,0.8140693143941462,0.007460711989551783,0.19339139759540558,384
DINOv2-S,cifar100,10,0.7931470987387002,0.006912406999617815,0.21376530826091766,384
DINOv2-S,cifar100,11,0.3882751576602459,0.005838286131620407,0.6175631284713745,384
