model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv3-S16,cifar100,0,0.9309716280549765,0.009533381089568138,0.07856175303459167,384
DINOv3-S16,cifar100,1,0.8848016979172826,0.008885783143341541,0.12408408522605896,384
DINOv3-S16,cifar100,2,0.8724057460203767,0.008814864791929722,0.13640911877155304,384
DINOv3-S16,cifar100,3,0.8428544420748949,0.008685978129506111,0.1658315360546112,384
DINOv3-S16,cifar100,4,0.7964567458257079,0.008604071103036404,0.2121473252773285,384
DINOv3-S16,cifar100,5,0.7690143557265401,0.00847840029746294,0.23946404457092285,384
DINOv3-S16,cifar100,6,0.7758284909650683,0.008321027271449566,0.23249253630638123,384
DINOv3-S16,cifar100,7,0.7649193918332458,0.008089355193078518,0.24316996335983276,384
DINOv3-S16,cifar100,8,0.7467993861064315,0.007774657569825649,0.26097527146339417,384
DINOv3-S16,cifar100,9,0.7266860641539097,0.007574830204248428,0.28088876605033875,384
DINOv3-S16,cifar100,10,0.6228022193536162,0.006986371241509914,0.3841841518878937,384
DINOv3-S16,cifar100,11,0.347910872194916,0.006089201662689447,0.6581783294677734,384
