model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,cifar100,0,0.939932125620544,0.008953730575740337,0.06902160495519638,768
DeiT-B16,cifar100,1,0.9125545360147953,0.008124660700559616,0.09557012468576431,768
DeiT-B16,cifar100,2,0.9009319245815277,0.0079570934176445,0.10702516883611679,768
DeiT-B16,cifar100,3,0.883612816222012,0.007890802808105946,0.1242779865860939,768
DeiT-B16,cifar100,4,0.8682692553848028,0.007804622873663902,0.13953536748886108,768
DeiT-B16,cifar100,5,0.8441280000843108,0.007571833673864603,0.16344383358955383,768
DeiT-B16,cifar100,6,0.8085958594456315,0.007296466268599033,0.19870060682296753,768
DeiT-B16,cifar100,7,0.7592964447103441,0.006978315766900778,0.2476818710565567,768
DeiT-B16,cifar100,8,0.6989722531288862,0.006660161539912224,0.307687908411026,768
DeiT-B16,cifar100,9,0.6609205445274711,0.006028457544744015,0.34510791301727295,768
DeiT-B16,cifar100,10,0.6097721611149609,0.005153820384293795,0.3953816592693329,768
DeiT-B16,cifar100,11,0.7195946299470961,0.005015345755964518,0.2854207158088684,768
