model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,cifar100,0,0.9489096477627754,0.00852605327963829,0.05961640551686287,768
MAE-B16,cifar100,1,0.9503058409318328,0.008393942378461361,0.05808810144662857,768
MAE-B16,cifar100,2,0.9463151758536696,0.008319481275975704,0.06200430542230606,768
MAE-B16,cifar100,3,0.943459052592516,0.008269939571619034,0.06481088697910309,768
MAE-B16,cifar100,4,0.9391947574913502,0.008199159055948257,0.06900440156459808,768
MAE-B16,cifar100,5,0.933442385867238,0.00807810015976429,0.07463571429252625,768
MAE-B16,cifar100,6,0.9276956105604768,0.007881724275648594,0.08018611371517181,768
MAE-B16,cifar100,7,0.9168147849850357,0.007602098863571882,0.09078731387853622,768
MAE-B16,cifar100,8,0.9011138794012368,0.007216137368232012,0.10610225796699524,768
MAE-B16,cifar100,9,0.8882457274012268,0.006999630015343428,0.11875390261411667,768
MAE-B16,cifar100,10,0.8737218817695975,0.006868674419820309,0.13314679265022278,768
MAE-B16,cifar100,11,0.8623545384034514,0.006856701336801052,0.1445021629333496,768
