model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,cifar100,0,0.9306816533207893,0.008396334946155548,0.07771468162536621,768
ViT-IN21k-B16,cifar100,1,0.909557037986815,0.008056827820837498,0.09849978983402252,768
ViT-IN21k-B16,cifar100,2,0.8926497856155038,0.007865370251238346,0.11521558463573456,768
ViT-IN21k-B16,cifar100,3,0.8621294926851988,0.007714329287409782,0.145584836602211,768
ViT-IN21k-B16,cifar100,4,0.8359556174837053,0.0075444853864610195,0.17158886790275574,768
ViT-IN21k-B16,cifar100,5,0.8132103090174496,0.007389039266854525,0.1941787302494049,768
ViT-IN21k-B16,cifar100,6,0.8008983451873064,0.007184403017163277,0.20628605782985687,768
ViT-IN21k-B16,cifar100,7,0.78331144945696,0.006962173152714968,0.223650723695755,768
ViT-IN21k-B16,cifar100,8,0.7699326742440462,0.006718771532177925,0.2367860972881317,768
ViT-IN21k-B16,cifar100,9,0.756271792575717,0.006440533325076103,0.25016874074935913,768
ViT-IN21k-B16,cifar100,10,0.7235604291781783,0.005691475234925747,0.28213104605674744,768
ViT-IN21k-B16,cifar100,11,0.656313153449446,0.004860701505094767,0.3485475480556488,768
