model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,dtd,0,0.8244759504605099,1.018391139950836e-05,0.1755342334508896,768
CLIP-B32,dtd,1,0.7931183697160122,6.01722558712936e-06,0.2068876475095749,768
CLIP-B32,dtd,2,0.7566542198733259,4.591591732605593e-06,0.24335037171840668,768
CLIP-B32,dtd,3,0.7096281435392484,2.5715730771480594e-06,0.29037442803382874,768
CLIP-B32,dtd,4,0.7046827306925252,1.3044058277955628e-06,0.2953185737133026,768
CLIP-B32,dtd,5,0.6870662758150274,3.764429266084335e-07,0.31293410062789917,768
CLIP-B32,dtd,6,0.6773287177747562,1.9080103186297492e-07,0.32267147302627563,768
CLIP-B32,dtd,7,0.6355256494207708,6.519988460240711e-08,0.36447441577911377,768
CLIP-B32,dtd,8,0.5998785579782124,8.402406770358084e-09,0.40012145042419434,768
CLIP-B32,dtd,9,0.5843636710420836,1.8850554450722257e-09,0.4156363308429718,768
CLIP-B32,dtd,10,0.6079450861095664,1.537728056000276e-09,0.3920549154281616,768
CLIP-B32,dtd,11,0.6547397419347138,4.424032695737878e-09,0.34526026248931885,768
