model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,dtd,0,0.8767305128276348,0.012333746999502182,0.13560323417186737,384
DINOv2-S,dtd,1,0.8745269561186433,0.013062500394880772,0.1385355442762375,384
DINOv2-S,dtd,2,0.8595178779214621,0.01175427995622158,0.15223640203475952,384
DINOv2-S,dtd,3,0.8369447970762849,0.009499558247625828,0.17255476117134094,384
DINOv2-S,dtd,4,0.8097430360503495,0.00649592699483037,0.1967528909444809,384
DINOv2-S,dtd,5,0.8182931952178478,0.004261847585439682,0.18596865236759186,384
DINOv2-S,dtd,6,0.8005861840210855,0.002135177608579397,0.2015489935874939,384
DINOv2-S,dtd,7,0.8069366294657812,0.001007624319754541,0.1940709948539734,384
DINOv2-S,dtd,8,0.8157311110990122,0.0004579006927087903,0.1847267895936966,384
DINOv2-S,dtd,9,0.7867875399533659,0.00031989836134016514,0.21353235840797424,384
DINOv2-S,dtd,10,0.7643602742173243,0.0001652194478083402,0.235804945230484,384
DINOv2-S,dtd,11,0.5706589022645403,2.6324757982365554e-06,0.42934373021125793,384
