model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv3-S16,dtd,0,0.9256116598844528,0.016243547201156616,0.0906318873167038,384
DINOv3-S16,dtd,1,0.8759773704223335,0.002525839488953352,0.12654846906661987,384
DINOv3-S16,dtd,2,0.8474054681137204,0.0019304053857922554,0.15452493727207184,384
DINOv3-S16,dtd,3,0.8206168419565074,0.000954464718233794,0.18033762276172638,384
DINOv3-S16,dtd,4,0.8175071984005626,0.0002667217922862619,0.18275952339172363,384
DINOv3-S16,dtd,5,0.789185017994896,3.899698640452698e-05,0.21085397899150848,384
DINOv3-S16,dtd,6,0.7697899262975625,1.109350432670908e-05,0.23022116720676422,384
DINOv3-S16,dtd,7,0.7360828057676372,6.748810392309679e-06,0.2639239430427551,384
DINOv3-S16,dtd,8,0.7295175798437867,2.1763346467196243e-06,0.27048459649086,384
DINOv3-S16,dtd,9,0.7319047227021542,6.928559628249786e-07,0.2680959701538086,384
DINOv3-S16,dtd,10,0.6732651573117323,5.778628064945224e-08,0.32673490047454834,384
DINOv3-S16,dtd,11,0.5726576473920293,2.6433415456494913e-09,0.42734235525131226,384
