model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,dtd,0,0.9049710766412318,0.004156848881393671,0.0991857722401619,768
DeiT-B16,dtd,1,0.8416216884870664,8.9949848188553e-05,0.15846826136112213,768
DeiT-B16,dtd,2,0.8132611807836838,5.140568191563943e-06,0.18674395978450775,768
DeiT-B16,dtd,3,0.7831753665131487,5.835217393723724e-07,0.2168252170085907,768
DeiT-B16,dtd,4,0.7628163397250063,1.0430191821342305e-07,0.23718376457691193,768
DeiT-B16,dtd,5,0.7339232720484681,1.5651220763857054e-08,0.2660767436027527,768
DeiT-B16,dtd,6,0.6837322424682624,1.0761267432712884e-09,0.3162677586078644,768
DeiT-B16,dtd,7,0.6257398725503583,9.47614278712372e-11,0.3742601275444031,768
DeiT-B16,dtd,8,0.5583317279914987,9.931330063883692e-12,0.4416682720184326,768
DeiT-B16,dtd,9,0.4762402772915376,1.1934061594845446e-12,0.5237597227096558,768
DeiT-B16,dtd,10,0.48763430118614487,5.369862540738346e-13,0.5123656988143921,768
DeiT-B16,dtd,11,0.6642700140019652,4.3117961978644814e-10,0.3357299864292145,768
