model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,dtd,0,0.8711592760258782,7.655793297089986e-07,0.12884148955345154,768
MAE-B16,dtd,1,0.8695330610728966,5.8696340232700095e-08,0.1304669976234436,768
MAE-B16,dtd,2,0.8599167639166296,1.730026610857749e-08,0.14008325338363647,768
MAE-B16,dtd,3,0.8507478309771228,7.261912848832708e-09,0.14925217628479004,768
MAE-B16,dtd,4,0.8361871116405235,2.289365363949969e-09,0.16381289064884186,768
MAE-B16,dtd,5,0.8207809188567156,8.545869567555542e-10,0.1792190819978714,768
MAE-B16,dtd,6,0.8113569322790473,3.54227286392117e-10,0.18864306807518005,768
MAE-B16,dtd,7,0.7917747647880049,1.309843483676687e-10,0.20822523534297943,768
MAE-B16,dtd,8,0.7700807005726856,5.598486257918367e-11,0.22991929948329926,768
MAE-B16,dtd,9,0.7561058413820742,1.1759279106016152e-09,0.24389415979385376,768
MAE-B16,dtd,10,0.7496120333924794,2.5322417773754324e-11,0.250387966632843,768
MAE-B16,dtd,11,0.7592655868083303,7.451227829191609e-11,0.24073441326618195,768
