model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,dtd,0,0.8742909419815987,0.001385687617585063,0.12709474563598633,768
ViT-IN21k-B16,dtd,1,0.836015935964042,3.6023325264977757e-06,0.1639876663684845,768
ViT-IN21k-B16,dtd,2,0.7895113629490211,1.0171540054670913e-08,0.21048864722251892,768
ViT-IN21k-B16,dtd,3,0.7520920488786643,3.5285410704410936e-10,0.24790795147418976,768
ViT-IN21k-B16,dtd,4,0.7192035755967368,4.908894766231242e-07,0.28079691529273987,768
ViT-IN21k-B16,dtd,5,0.683403849667365,6.56194057424564e-11,0.3165961503982544,768
ViT-IN21k-B16,dtd,6,0.670084268466637,6.119464379672479e-10,0.32991573214530945,768
ViT-IN21k-B16,dtd,7,0.6409506831928404,3.4137876969708714e-09,0.35904932022094727,768
ViT-IN21k-B16,dtd,8,0.6396160424696157,9.405112105786984e-11,0.3603839576244354,768
ViT-IN21k-B16,dtd,9,0.6265602412825855,2.986224045820052e-10,0.373439759016037,768
ViT-IN21k-B16,dtd,10,0.5536964535981139,2.679432370422674e-11,0.4463035464286804,768
ViT-IN21k-B16,dtd,11,0.6242679066012249,6.50678622093892e-10,0.37573209404945374,768
