model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,imagenet-100,0,0.8946443162858486,0.00904473289847374,0.11440041661262512,768
CLIP-B32,imagenet-100,1,0.8758896328508854,0.008853096514940262,0.13296346366405487,768
CLIP-B32,imagenet-100,2,0.8591687018051744,0.008597367443144321,0.14942866563796997,768
CLIP-B32,imagenet-100,3,0.8278446244075894,0.008278955705463886,0.18043433129787445,768
CLIP-B32,imagenet-100,4,0.8019511690363288,0.007899939082562923,0.20594877004623413,768
CLIP-B32,imagenet-100,5,0.7645961465314031,0.007392180152237415,0.24279603362083435,768
CLIP-B32,imagenet-100,6,0.756664072163403,0.006925587542355061,0.250261515378952,768
CLIP-B32,imagenet-100,7,0.7485820925794542,0.006388393696397543,0.25780630111694336,768
CLIP-B32,imagenet-100,8,0.7026330763474107,0.005680643953382969,0.3030475676059723,768
CLIP-B32,imagenet-100,9,0.707792529836297,0.004979768767952919,0.2971872389316559,768
CLIP-B32,imagenet-100,10,0.7246019141748548,0.004930873401463032,0.2803289592266083,768
CLIP-B32,imagenet-100,11,0.758661697153002,0.005099202040582895,0.24643750488758087,768
