model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv3-S16,imagenet-100,0,0.927594343200326,0.009614476934075356,0.08202013373374939,384
DINOv3-S16,imagenet-100,1,0.8868380999192595,0.00919992383569479,0.12236182391643524,384
DINOv3-S16,imagenet-100,2,0.8609060067683458,0.009066568687558174,0.14816056191921234,384
DINOv3-S16,imagenet-100,3,0.8149594953283668,0.00890506710857153,0.19394557178020477,384
DINOv3-S16,imagenet-100,4,0.7877164958044887,0.008742916397750378,0.22102642059326172,384
DINOv3-S16,imagenet-100,5,0.8020494990050793,0.008591976016759872,0.2065424770116806,384
DINOv3-S16,imagenet-100,6,0.7881694221869111,0.008414276875555515,0.2202448546886444,384
DINOv3-S16,imagenet-100,7,0.7763160383328795,0.0081933056935668,0.23187726736068726,384
DINOv3-S16,imagenet-100,8,0.7514615301042795,0.00773998536169529,0.25627845525741577,384
DINOv3-S16,imagenet-100,9,0.7360678971745074,0.007387197110801935,0.27131929993629456,384
DINOv3-S16,imagenet-100,10,0.6474289642646909,0.006440316326916218,0.35901135206222534,384
DINOv3-S16,imagenet-100,11,0.1368275536224246,0.005232597701251507,0.8684050440788269,384
