model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,imagenet-100,0,0.9327935948967934,0.009218662977218628,0.07642506808042526,768
DeiT-B16,imagenet-100,1,0.8942601587623358,0.008720410987734795,0.11446025222539902,768
DeiT-B16,imagenet-100,2,0.8746464969590306,0.00849269051104784,0.1338461935520172,768
DeiT-B16,imagenet-100,3,0.8558784071356058,0.008341560140252113,0.1524631530046463,768
DeiT-B16,imagenet-100,4,0.8388096401467919,0.008160502649843693,0.16935086250305176,768
DeiT-B16,imagenet-100,5,0.8143907925114036,0.007827176712453365,0.1934363842010498,768
DeiT-B16,imagenet-100,6,0.7658863584510982,0.007349691819399595,0.2414633333683014,768
DeiT-B16,imagenet-100,7,0.6831481014378369,0.006798401940613985,0.3236503005027771,768
DeiT-B16,imagenet-100,8,0.5748841436579823,0.0060056718066334724,0.4311215281486511,768
DeiT-B16,imagenet-100,9,0.4240636439062655,0.004440745804458857,0.5803771018981934,768
DeiT-B16,imagenet-100,10,0.6603496253956109,0.002384144114330411,0.3420345187187195,768
DeiT-B16,imagenet-100,11,0.8039621757343411,0.002195124514400959,0.19823294878005981,768
