model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,imagenet-100,0,0.9358810633420944,0.009109146893024445,0.07322808355093002,768
MAE-B16,imagenet-100,1,0.9341591456905007,0.008909919299185276,0.07475077360868454,768
MAE-B16,imagenet-100,2,0.9277055105194449,0.008795506320893764,0.08108999580144882,768
MAE-B16,imagenet-100,3,0.9223367339000106,0.008638902567327023,0.08630216866731644,768
MAE-B16,imagenet-100,4,0.913436216302216,0.008468818850815296,0.09503260254859924,768
MAE-B16,imagenet-100,5,0.9042441640049219,0.0082403514534235,0.10399618744850159,768
MAE-B16,imagenet-100,6,0.8920853044837713,0.007870769128203392,0.11578546464443207,768
MAE-B16,imagenet-100,7,0.8734884327277541,0.007406360469758511,0.1339179277420044,768
MAE-B16,imagenet-100,8,0.8462902111932635,0.006594534032046795,0.16030432283878326,768
MAE-B16,imagenet-100,9,0.8200288200750947,0.006100633181631565,0.18607181310653687,768
MAE-B16,imagenet-100,10,0.7931299139745533,0.005889408756047487,0.21275949478149414,768
MAE-B16,imagenet-100,11,0.780438560526818,0.005850228946655989,0.22541166841983795,768
