model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,imagenet-100,0,0.9244490442797542,0.0089879734441638,0.08453892916440964,768
ViT-IN21k-B16,imagenet-100,1,0.8998984331265092,0.008633934892714024,0.10873550176620483,768
ViT-IN21k-B16,imagenet-100,2,0.8717218115925789,0.008335672318935394,0.1366138607263565,768
ViT-IN21k-B16,imagenet-100,3,0.8400414502248168,0.008103764615952969,0.16806231439113617,768
ViT-IN21k-B16,imagenet-100,4,0.8097045561298728,0.007808013819158077,0.19810345768928528,768
ViT-IN21k-B16,imagenet-100,5,0.7791943629272282,0.0075189401395618916,0.22832457721233368,768
ViT-IN21k-B16,imagenet-100,6,0.7504060231149197,0.007218953222036362,0.2568129301071167,768
ViT-IN21k-B16,imagenet-100,7,0.7145818728022277,0.006844426970928907,0.29226255416870117,768
ViT-IN21k-B16,imagenet-100,8,0.6800899654626846,0.006414130330085754,0.3263241648674011,768
ViT-IN21k-B16,imagenet-100,9,0.638882209546864,0.005938966758549213,0.3670567572116852,768
ViT-IN21k-B16,imagenet-100,10,0.5025797709822655,0.0043124184012413025,0.5017326474189758,768
ViT-IN21k-B16,imagenet-100,11,0.7257064916193485,0.0026335157454013824,0.27692702412605286,768
