model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,imagenet-1k,0,0.883968269219622,0.0009891295339912176,0.1170208603143692,768
CLIP-B32,imagenet-1k,1,0.8641679344000295,0.0009864774765446782,0.1368185430765152,768
CLIP-B32,imagenet-1k,2,0.8464355720207095,0.0009828610345721245,0.1545472890138626,768
CLIP-B32,imagenet-1k,3,0.8132510180585086,0.000978186260908842,0.1877271682024002,768
CLIP-B32,imagenet-1k,4,0.7903392086736858,0.0009722332470119,0.2106330245733261,768
CLIP-B32,imagenet-1k,5,0.7548519707052037,0.0009633785812184215,0.2461114078760147,768
CLIP-B32,imagenet-1k,6,0.7462280679028481,0.0009540605824440718,0.25472599267959595,768
CLIP-B32,imagenet-1k,7,0.7377458332339302,0.0009417949477210641,0.2631959617137909,768
CLIP-B32,imagenet-1k,8,0.6827798513113521,0.0009196427999995649,0.31813979148864746,768
CLIP-B32,imagenet-1k,9,0.6749727249844,0.0008845151169225574,0.3259117901325226,768
CLIP-B32,imagenet-1k,10,0.6889793407171965,0.0008819829672574997,0.31190264225006104,768
CLIP-B32,imagenet-1k,11,0.7336646920884959,0.0008922225679270923,0.26722753047943115,768
