model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv3-S16,imagenet-1k,0,0.9199243258917704,0.0009951289976015687,0.08107080310583115,384
DINOv3-S16,imagenet-1k,1,0.8771364574786276,0.0009905060287564993,0.12385404855012894,384
DINOv3-S16,imagenet-1k,2,0.8461323984665796,0.0009884395403787494,0.15485604107379913,384
DINOv3-S16,imagenet-1k,3,0.8042035032995045,0.0009864200837910175,0.1967829167842865,384
DINOv3-S16,imagenet-1k,4,0.7791194088058546,0.0009844369487836957,0.22186502814292908,384
DINOv3-S16,imagenet-1k,5,0.7966843190370128,0.0009827407775446773,0.20429842174053192,384
DINOv3-S16,imagenet-1k,6,0.781931096338667,0.0009800285333767533,0.21904893219470978,384
DINOv3-S16,imagenet-1k,7,0.7646712765563279,0.0009767368901520967,0.23630546033382416,384
DINOv3-S16,imagenet-1k,8,0.7399815042153932,0.0009700675145722926,0.2609885632991791,384
DINOv3-S16,imagenet-1k,9,0.7204910462605767,0.0009637420880608261,0.28047269582748413,384
DINOv3-S16,imagenet-1k,10,0.6272709323093295,0.0009456230327486992,0.3736746907234192,384
DINOv3-S16,imagenet-1k,11,-0.08593529177596793,0.0009190468699671328,1.086854338645935,384
