model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,imagenet-1k,0,0.9245399092324078,0.0009908233769237995,0.07645091414451599,768
DeiT-B16,imagenet-1k,1,0.8833195653278381,0.0009844314772635698,0.1176648661494255,768
DeiT-B16,imagenet-1k,2,0.8635274800471961,0.0009809019975364208,0.13745342195034027,768
DeiT-B16,imagenet-1k,3,0.844843244063668,0.0009786392329260707,0.15613539516925812,768
DeiT-B16,imagenet-1k,4,0.8316813238197938,0.0009761579567566514,0.1692948341369629,768
DeiT-B16,imagenet-1k,5,0.8074427229585126,0.0009706896962597966,0.1935279667377472,768
DeiT-B16,imagenet-1k,6,0.754313608049415,0.0009617408504709601,0.2466481328010559,768
DeiT-B16,imagenet-1k,7,0.6641782943625003,0.0009513322729617357,0.3367730379104614,768
DeiT-B16,imagenet-1k,8,0.5418666144832969,0.0009325584396719933,0.4590659439563751,768
DeiT-B16,imagenet-1k,9,0.29446816601557657,0.0008713618735782802,0.7064031958580017,768
DeiT-B16,imagenet-1k,10,0.6259898517746478,0.0007592116016894579,0.3747693598270416,768
DeiT-B16,imagenet-1k,11,0.7949170134961605,0.0007462166249752045,0.2058292031288147,768
