model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,imagenet-1k,0,0.9219880705932155,0.0009897282579913735,0.07900165766477585,768
MAE-B16,imagenet-1k,1,0.9226713322568685,0.0009869479108601809,0.0783156156539917,768
MAE-B16,imagenet-1k,2,0.9170014670817181,0.0009853801457211375,0.08398391306400299,768
MAE-B16,imagenet-1k,3,0.9117849440081045,0.0009833694202825427,0.08919842541217804,768
MAE-B16,imagenet-1k,4,0.902682246407494,0.0009807662572711706,0.09829851984977722,768
MAE-B16,imagenet-1k,5,0.8936508549377322,0.0009775785729289055,0.10732672363519669,768
MAE-B16,imagenet-1k,6,0.8818979577627033,0.0009717138018459082,0.11907375603914261,768
MAE-B16,imagenet-1k,7,0.8631203377153724,0.0009632015135139227,0.13784286379814148,768
MAE-B16,imagenet-1k,8,0.8363540640566498,0.0009412786457687616,0.16458721458911896,768
MAE-B16,imagenet-1k,9,0.8090446731075644,0.0009232750162482262,0.19187860190868378,768
MAE-B16,imagenet-1k,10,0.7809289005235769,0.0009175297454930842,0.2199886292219162,768
MAE-B16,imagenet-1k,11,0.7679936187923886,0.0009182291687466204,0.23292461037635803,768
