model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,imagenet-1k,0,0.9156853744061664,0.0009879657300189137,0.08530259132385254,768
ViT-IN21k-B16,imagenet-1k,1,0.890421460266225,0.0009832856012508273,0.11056182533502579,768
ViT-IN21k-B16,imagenet-1k,2,0.8614065671572462,0.0009788150200620294,0.13957224786281586,768
ViT-IN21k-B16,imagenet-1k,3,0.8293353202170692,0.0009753438062034547,0.17164002358913422,768
ViT-IN21k-B16,imagenet-1k,4,0.7977383145480417,0.0009703793912194669,0.2032320648431778,768
ViT-IN21k-B16,imagenet-1k,5,0.766337841807399,0.0009651184664107859,0.23462727665901184,768
ViT-IN21k-B16,imagenet-1k,6,0.7369963636738248,0.0009591391426511109,0.2639627754688263,768
ViT-IN21k-B16,imagenet-1k,7,0.6983688179752789,0.0009508435032330453,0.3025820255279541,768
ViT-IN21k-B16,imagenet-1k,8,0.6602470083162189,0.0009413165971636772,0.3406943082809448,768
ViT-IN21k-B16,imagenet-1k,9,0.6099994432879612,0.0009250295115634799,0.3909255862236023,768
ViT-IN21k-B16,imagenet-1k,10,0.3840623277355917,0.0008502978016622365,0.6167879700660706,768
ViT-IN21k-B16,imagenet-1k,11,0.6922243502922356,0.0007466641254723072,0.3085223138332367,768
