model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,mini-imagenet,0,0.892240297049284,0.00852147862315178,0.1162811815738678,768
CLIP-B32,mini-imagenet,1,0.8677795398980379,0.008323119953274727,0.14054358005523682,768
CLIP-B32,mini-imagenet,2,0.8477026484906673,0.008066903799772263,0.16036425530910492,768
CLIP-B32,mini-imagenet,3,0.8137296489439905,0.007769485469907522,0.19403983652591705,768
CLIP-B32,mini-imagenet,4,0.790728494990617,0.007398158777505159,0.21666966378688812,768
CLIP-B32,mini-imagenet,5,0.7571582710370421,0.006901419721543789,0.24974314868450165,768
CLIP-B32,mini-imagenet,6,0.7472019358538091,0.0064253672026097775,0.25922343134880066,768
CLIP-B32,mini-imagenet,7,0.7375260503031313,0.0058867246843874454,0.2683606743812561,768
CLIP-B32,mini-imagenet,8,0.6825693268328905,0.005109312012791634,0.3225399851799011,768
CLIP-B32,mini-imagenet,9,0.6839689859189093,0.004267389420419931,0.3202984035015106,768
CLIP-B32,mini-imagenet,10,0.7019692026078701,0.004231955856084824,0.3022627532482147,768
CLIP-B32,mini-imagenet,11,0.7419446706771851,0.004418551921844482,0.2624738812446594,768
