model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,mini-imagenet,0,0.8692263821139932,0.00906591210514307,0.1398395299911499,384
DINOv2-S,mini-imagenet,1,0.8698030496016145,0.00902638677507639,0.13922333717346191,384
DINOv2-S,mini-imagenet,2,0.8661712547764182,0.008771046064794064,0.14259979128837585,384
DINOv2-S,mini-imagenet,3,0.8355333767831326,0.008537989109754562,0.173004612326622,384
DINOv2-S,mini-imagenet,4,0.8019519159570336,0.008335546590387821,0.2063836306333542,384
DINOv2-S,mini-imagenet,5,0.8074125656858087,0.008141458965837955,0.2007288932800293,384
DINOv2-S,mini-imagenet,6,0.801899335347116,0.007826543413102627,0.20592720806598663,384
DINOv2-S,mini-imagenet,7,0.7638069801032543,0.007491644471883774,0.24368466436862946,384
DINOv2-S,mini-imagenet,8,0.7802322488278151,0.006985140964388847,0.2267528921365738,384
DINOv2-S,mini-imagenet,9,0.8053782125934958,0.006477846764028072,0.20109963417053223,384
DINOv2-S,mini-imagenet,10,0.8267683954909444,0.005632084794342518,0.17886368930339813,384
DINOv2-S,mini-imagenet,11,0.17452997411601245,0.0038255497347563505,0.8292955756187439,384
