model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv3-S16,mini-imagenet,0,0.9264639085158706,0.009504280053079128,0.08304037153720856,384
DINOv3-S16,mini-imagenet,1,0.8852178445085883,0.008897087536752224,0.12367924302816391,384
DINOv3-S16,mini-imagenet,2,0.8530390085652471,0.008735042996704578,0.15569603443145752,384
DINOv3-S16,mini-imagenet,3,0.8137401659041643,0.008581208065152168,0.19484104216098785,384
DINOv3-S16,mini-imagenet,4,0.7914394149556756,0.008415431715548038,0.21697601675987244,384
DINOv3-S16,mini-imagenet,5,0.8082329444587231,0.008299198001623154,0.20006625354290009,384
DINOv3-S16,mini-imagenet,6,0.7904102439060807,0.008099072612822056,0.21768882870674133,384
DINOv3-S16,mini-imagenet,7,0.7719658305868506,0.007865204475820065,0.23589937388896942,384
DINOv3-S16,mini-imagenet,8,0.7469853940419853,0.007412839215248823,0.26042744517326355,384
DINOv3-S16,mini-imagenet,9,0.7281411215662956,0.007030777633190155,0.27888965606689453,384
DINOv3-S16,mini-imagenet,10,0.6330106980167329,0.006089968141168356,0.3730792701244354,384
DINOv3-S16,mini-imagenet,11,0.127575455699116,0.004861174616962671,0.8772857189178467,384
