model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,mini-imagenet,0,0.933356236666441,0.00882263109087944,0.07546639442443848,768
DeiT-B16,mini-imagenet,1,0.890870176255703,0.008181929588317871,0.1173117533326149,768
DeiT-B16,mini-imagenet,2,0.8690558839589357,0.007939638569951057,0.13888375461101532,768
DeiT-B16,mini-imagenet,3,0.8497077357023954,0.007784022018313408,0.15807628631591797,768
DeiT-B16,mini-imagenet,4,0.8377173449844122,0.0076205190271139145,0.16990317404270172,768
DeiT-B16,mini-imagenet,5,0.8134691673330963,0.007283966522663832,0.19381479918956757,768
DeiT-B16,mini-imagenet,6,0.7597290500998497,0.00677875429391861,0.2470497041940689,768
DeiT-B16,mini-imagenet,7,0.6725037838332355,0.006238385569304228,0.3337346017360687,768
DeiT-B16,mini-imagenet,8,0.5594370616599917,0.00546842347830534,0.4460313618183136,768
DeiT-B16,mini-imagenet,9,0.39416335010901093,0.0038702883757650852,0.6097069382667542,768
DeiT-B16,mini-imagenet,10,0.6355310147628188,0.002035624347627163,0.36650460958480835,768
DeiT-B16,mini-imagenet,11,0.7899106155382469,0.0018967847572639585,0.21198616921901703,768
