model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,mini-imagenet,0,0.9277493301779032,0.008589224889874458,0.08083989471197128,768
MAE-B16,mini-imagenet,1,0.9280177261680365,0.00836382620036602,0.08034610003232956,768
MAE-B16,mini-imagenet,2,0.9223521584644914,0.008247324265539646,0.08589516580104828,768
MAE-B16,mini-imagenet,3,0.9168769782409072,0.008098154328763485,0.09122117608785629,768
MAE-B16,mini-imagenet,4,0.9075292451307178,0.00791852455586195,0.1003892794251442,768
MAE-B16,mini-imagenet,5,0.898278831038624,0.007714128587394953,0.1094352975487709,768
MAE-B16,mini-imagenet,6,0.8863630280829966,0.007330356631428003,0.1209673285484314,768
MAE-B16,mini-imagenet,7,0.8673062291927636,0.00688318582251668,0.1395769566297531,768
MAE-B16,mini-imagenet,8,0.8402028381824493,0.00600084662437439,0.16579800844192505,768
MAE-B16,mini-imagenet,9,0.8140421574935317,0.005515224300324917,0.1914730668067932,768
MAE-B16,mini-imagenet,10,0.7871190686710179,0.0053558130748569965,0.2182367444038391,768
MAE-B16,mini-imagenet,11,0.7762919683009386,0.005340101197361946,0.22904813289642334,768
