model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,mini-imagenet,0,0.9251233153045177,0.008471373468637466,0.08334805816411972,768
ViT-IN21k-B16,mini-imagenet,1,0.8989591458812356,0.008112997747957706,0.1091538518667221,768
ViT-IN21k-B16,mini-imagenet,2,0.8704882375895977,0.007826771587133408,0.1373385339975357,768
ViT-IN21k-B16,mini-imagenet,3,0.8389333072118461,0.007600981276482344,0.16866767406463623,768
ViT-IN21k-B16,mini-imagenet,4,0.808035263326019,0.007295662071555853,0.1992603987455368,768
ViT-IN21k-B16,mini-imagenet,5,0.7779414635151625,0.006996942684054375,0.2290554791688919,768
ViT-IN21k-B16,mini-imagenet,6,0.7491254787892103,0.00670003704726696,0.25757455825805664,768
ViT-IN21k-B16,mini-imagenet,7,0.7121222368441522,0.006309663411229849,0.29418742656707764,768
ViT-IN21k-B16,mini-imagenet,8,0.6766348234377801,0.005921696778386831,0.3292868733406067,768
ViT-IN21k-B16,mini-imagenet,9,0.6300302469171584,0.005425902549177408,0.37539565563201904,768
ViT-IN21k-B16,mini-imagenet,10,0.4799975308123976,0.0039026292506605387,0.5239050984382629,768
ViT-IN21k-B16,mini-imagenet,11,0.7238575781229883,0.002376195276156068,0.2785186171531677,768
