model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,stanford-dogs,0,0.8917062757536769,0.005460972897708416,0.11375469714403152,768
CLIP-B32,stanford-dogs,1,0.8758192444220185,0.005419456399977207,0.12960021197795868,768
CLIP-B32,stanford-dogs,2,0.857573529239744,0.005378787871450186,0.14780525863170624,768
CLIP-B32,stanford-dogs,3,0.8276058537885547,0.00528957974165678,0.1776837259531021,768
CLIP-B32,stanford-dogs,4,0.807826369535178,0.0051819379441440105,0.19735556840896606,768
CLIP-B32,stanford-dogs,5,0.7926722527481616,0.00508364150300622,0.21241138875484467,768
CLIP-B32,stanford-dogs,6,0.7983415685594082,0.0049933455884456635,0.20665177702903748,768
CLIP-B32,stanford-dogs,7,0.7988905133679509,0.004935932345688343,0.20604541897773743,768
CLIP-B32,stanford-dogs,8,0.7706873151473701,0.004800665657967329,0.23411335051059723,768
CLIP-B32,stanford-dogs,9,0.7887970865704119,0.004606312606483698,0.21580922603607178,768
CLIP-B32,stanford-dogs,10,0.778827422298491,0.004471444524824619,0.22564402222633362,768
CLIP-B32,stanford-dogs,11,0.7965866993181407,0.004460058640688658,0.2078733593225479,768
