model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv3-S16,stanford-dogs,0,0.9288991158828139,0.007896929048001766,0.07899781316518784,384
DINOv3-S16,stanford-dogs,1,0.8967555528506637,0.006792626343667507,0.11003707349300385,384
DINOv3-S16,stanford-dogs,2,0.8649641135707498,0.006748856045305729,0.14178474247455597,384
DINOv3-S16,stanford-dogs,3,0.8209433797746897,0.0066745225340127945,0.18573114275932312,384
DINOv3-S16,stanford-dogs,4,0.7916118265129626,0.006614989135414362,0.21500316262245178,384
DINOv3-S16,stanford-dogs,5,0.760016615036875,0.00655221426859498,0.24653559923171997,384
DINOv3-S16,stanford-dogs,6,0.7966032442636788,0.006536480505019426,0.20993323624134064,384
DINOv3-S16,stanford-dogs,7,0.7690044934861362,0.0064693535678088665,0.23746486008167267,384
DINOv3-S16,stanford-dogs,8,0.7548120166175067,0.006300344597548246,0.2514883279800415,384
DINOv3-S16,stanford-dogs,9,0.7459420929662883,0.006238169502466917,0.2602960765361786,384
DINOv3-S16,stanford-dogs,10,0.6902346573770046,0.00593918189406395,0.3157045245170593,384
DINOv3-S16,stanford-dogs,11,0.6002423726022243,0.00537201389670372,0.40512964129447937,384
