model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,stanford-dogs,0,0.9288229383528233,0.0065491534769535065,0.07772621512413025,768
DeiT-B16,stanford-dogs,1,0.8952789497561753,0.005461518187075853,0.11018256843090057,768
DeiT-B16,stanford-dogs,2,0.8779659382998943,0.005301427096128464,0.12733548879623413,768
DeiT-B16,stanford-dogs,3,0.8592734034173191,0.005253374110907316,0.14597997069358826,768
DeiT-B16,stanford-dogs,4,0.8471211967989802,0.005186590366065502,0.15806539356708527,768
DeiT-B16,stanford-dogs,5,0.824898861348629,0.005065403878688812,0.18016654253005981,768
DeiT-B16,stanford-dogs,6,0.7897429680451751,0.00495701190084219,0.21521404385566711,768
DeiT-B16,stanford-dogs,7,0.7317134705372155,0.004776683170348406,0.27306321263313293,768
DeiT-B16,stanford-dogs,8,0.688688522670418,0.004476672504097223,0.3157881498336792,768
DeiT-B16,stanford-dogs,9,0.6545046088285744,0.003842246253043413,0.349337637424469,768
DeiT-B16,stanford-dogs,10,0.6597513800952584,0.0028321093413978815,0.3430807292461395,768
DeiT-B16,stanford-dogs,11,0.6831681944895536,0.002487949328497052,0.3193197548389435,768
