model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,stanford-dogs,0,0.922991300933063,0.005497167818248272,0.08250586688518524,768
MAE-B16,stanford-dogs,1,0.9237106856890023,0.005448360461741686,0.08173767477273941,768
MAE-B16,stanford-dogs,2,0.9175060167908669,0.005419209599494934,0.08791319280862808,768
MAE-B16,stanford-dogs,3,0.9116203174926341,0.005364222917705774,0.09374390542507172,768
MAE-B16,stanford-dogs,4,0.9004834722727537,0.005315026268362999,0.10483155399560928,768
MAE-B16,stanford-dogs,5,0.8901837924495339,0.00527553353458643,0.11509174108505249,768
MAE-B16,stanford-dogs,6,0.8756791111081839,0.005201583728194237,0.12952247262001038,768
MAE-B16,stanford-dogs,7,0.8573342612944543,0.005107556935399771,0.14777329564094543,768
MAE-B16,stanford-dogs,8,0.8320113299414515,0.004901501350104809,0.17289017140865326,768
MAE-B16,stanford-dogs,9,0.806216983590275,0.004762245807796717,0.19854526221752167,768
MAE-B16,stanford-dogs,10,0.7850478929467499,0.004666660446673632,0.2196187674999237,768
MAE-B16,stanford-dogs,11,0.7703405758365989,0.0045682331547141075,0.23422765731811523,768
