model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,stanford-dogs,0,0.9246471570804715,0.0059922831133008,0.08134512603282928,768
ViT-IN21k-B16,stanford-dogs,1,0.9001761502586305,0.005359580274671316,0.1051834300160408,768
ViT-IN21k-B16,stanford-dogs,2,0.8722791336476803,0.005265887826681137,0.13298675417900085,768
ViT-IN21k-B16,stanford-dogs,3,0.8438507979735732,0.005174226127564907,0.1613234281539917,768
ViT-IN21k-B16,stanford-dogs,4,0.8171436036936939,0.005096867214888334,0.18795326352119446,768
ViT-IN21k-B16,stanford-dogs,5,0.7946269270032644,0.005015036091208458,0.21038810908794403,768
ViT-IN21k-B16,stanford-dogs,6,0.7764583970420063,0.0049542929045856,0.22849589586257935,768
ViT-IN21k-B16,stanford-dogs,7,0.7562831440009177,0.0048835077323019505,0.24860036373138428,768
ViT-IN21k-B16,stanford-dogs,8,0.7350229099392891,0.004778660833835602,0.2697557508945465,768
ViT-IN21k-B16,stanford-dogs,9,0.7122669741511345,0.004657648503780365,0.2923906743526459,768
ViT-IN21k-B16,stanford-dogs,10,0.6561097467783839,0.0037209654692560434,0.3476112186908722,768
ViT-IN21k-B16,stanford-dogs,11,0.7251889065373689,0.002048338996246457,0.27685943245887756,768
