model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,stanford_cars,0,0.869704662822187,0.0026388010010123253,0.13293413817882538,768
CLIP-B32,stanford_cars,1,0.8422199534252286,0.002617468126118183,0.1603975147008896,768
CLIP-B32,stanford_cars,2,0.8343645157292485,0.0025936635211110115,0.1682291477918625,768
CLIP-B32,stanford_cars,3,0.8039854180533439,0.002555296989157796,0.1985698789358139,768
CLIP-B32,stanford_cars,4,0.7798031205311418,0.0025050872936844826,0.22270196676254272,768
CLIP-B32,stanford_cars,5,0.7628602299373597,0.002484044758602977,0.2396238148212433,768
CLIP-B32,stanford_cars,6,0.7770629876758903,0.0024585777428001165,0.2253955900669098,768
CLIP-B32,stanford_cars,7,0.8065057531930506,0.0024299905635416508,0.19592423737049103,768
CLIP-B32,stanford_cars,8,0.7883177453186363,0.0023742520716041327,0.21405650675296783,768
CLIP-B32,stanford_cars,9,0.8198673678562045,0.0022811098024249077,0.1824137419462204,768
CLIP-B32,stanford_cars,10,0.8027917267754674,0.0022098394110798836,0.1994181126356125,768
CLIP-B32,stanford_cars,11,0.8125616665929556,0.002211218699812889,0.1896495521068573,768
