model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,stanford_cars,0,0.8397925198078156,0.004423454403877258,0.1646309345960617,384
DINOv2-S,stanford_cars,1,0.8359779161401093,0.004544754046946764,0.16856683790683746,384
DINOv2-S,stanford_cars,2,0.8689639084041119,0.004483383148908615,0.13551947474479675,384
DINOv2-S,stanford_cars,3,0.8496034950949252,0.0042960853315889835,0.15469259023666382,384
DINOv2-S,stanford_cars,4,0.8619558573700488,0.004053926561027765,0.142098069190979,384
DINOv2-S,stanford_cars,5,0.8692642494570464,0.003864024532958865,0.13459977507591248,384
DINOv2-S,stanford_cars,6,0.8621293015312403,0.0037286735605448484,0.1415993720293045,384
DINOv2-S,stanford_cars,7,0.8344377337489277,0.003709411481395364,0.16927167773246765,384
DINOv2-S,stanford_cars,8,0.8728761437814683,0.0036909792106598616,0.1308148354291916,384
DINOv2-S,stanford_cars,9,0.8442219200078398,0.003656193846836686,0.1594342738389969,384
DINOv2-S,stanford_cars,10,0.7983109101187438,0.0034572675358504057,0.20514635741710663,384
DINOv2-S,stanford_cars,11,0.7820080814417452,0.0032365021761506796,0.22122842073440552,384
