model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,stanford_cars,0,0.9272834544535726,0.0037220974918454885,0.07643864303827286,768
DeiT-B16,stanford_cars,1,0.8800733441021293,0.0027615854050964117,0.12268824130296707,768
DeiT-B16,stanford_cars,2,0.8662882365752012,0.0025794722605496645,0.1362912356853485,768
DeiT-B16,stanford_cars,3,0.8552242184523493,0.0025637561921030283,0.14733953773975372,768
DeiT-B16,stanford_cars,4,0.8553920853883028,0.002544524148106575,0.14715243875980377,768
DeiT-B16,stanford_cars,5,0.8405234243255109,0.002492966828867793,0.16196954250335693,768
DeiT-B16,stanford_cars,6,0.7939881372731179,0.0023988920729607344,0.20841075479984283,768
DeiT-B16,stanford_cars,7,0.7448848020285368,0.0023763906210660934,0.2574915885925293,768
DeiT-B16,stanford_cars,8,0.707292205421254,0.0022901955526322126,0.2949979901313782,768
DeiT-B16,stanford_cars,9,0.7390933732967824,0.002257059095427394,0.263163685798645,768
DeiT-B16,stanford_cars,10,0.7990249271970242,0.0022513295989483595,0.20322640240192413,768
DeiT-B16,stanford_cars,11,0.825961843598634,0.002260581124573946,0.17629873752593994,768
