model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,stanford_cars,0,0.9269613998476416,0.002632692689076066,0.07567129284143448,768
MAE-B16,stanford_cars,1,0.9283671181183308,0.002614046214148402,0.07424692809581757,768
MAE-B16,stanford_cars,2,0.922237990424037,0.0026194434612989426,0.08038145303726196,768
MAE-B16,stanford_cars,3,0.9156618157867342,0.0026033411268144846,0.08694152534008026,768
MAE-B16,stanford_cars,4,0.906210380140692,0.002597468439489603,0.09638708829879761,768
MAE-B16,stanford_cars,5,0.8971992505248636,0.00259071565233171,0.10539146512746811,768
MAE-B16,stanford_cars,6,0.8871369359549135,0.002574756508693099,0.1154378205537796,768
MAE-B16,stanford_cars,7,0.8720207125879824,0.0025578499771654606,0.13053713738918304,768
MAE-B16,stanford_cars,8,0.8525829706341028,0.00254901684820652,0.1499660462141037,768
MAE-B16,stanford_cars,9,0.8392407915089279,0.0025337061379104853,0.16329291462898254,768
MAE-B16,stanford_cars,10,0.8287476976402104,0.0025263656862080097,0.17377866804599762,768
MAE-B16,stanford_cars,11,0.8138917956966907,0.002532658400014043,0.18864086270332336,768
