model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,stanford_cars,0,0.9125003013759851,0.003292785957455635,0.09079248458147049,768
ViT-IN21k-B16,stanford_cars,1,0.8923899417277426,0.0026252453681081533,0.1102353036403656,768
ViT-IN21k-B16,stanford_cars,2,0.8728296274784952,0.002584737027063966,0.12975510954856873,768
ViT-IN21k-B16,stanford_cars,3,0.847513037500903,0.0025548364501446486,0.15504179894924164,768
ViT-IN21k-B16,stanford_cars,4,0.8292131312191486,0.0025227852165699005,0.17330965399742126,768
ViT-IN21k-B16,stanford_cars,5,0.813436817843467,0.002504956442862749,0.18906813859939575,768
ViT-IN21k-B16,stanford_cars,6,0.7986599244177341,0.0025004632771015167,0.20384053885936737,768
ViT-IN21k-B16,stanford_cars,7,0.7801868142560124,0.0024726809933781624,0.22228586673736572,768
ViT-IN21k-B16,stanford_cars,8,0.761389521183446,0.002466705860570073,0.24107718467712402,768
ViT-IN21k-B16,stanford_cars,9,0.7485218732617795,0.0024643330834805965,0.25394245982170105,768
ViT-IN21k-B16,stanford_cars,10,0.7297238674946129,0.0024376180954277515,0.2727137506008148,768
ViT-IN21k-B16,stanford_cars,11,0.8153968953993171,0.0023799592163413763,0.18698306381702423,768
