model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,sun397,0,0.8833240692038089,0.001982269110158086,0.11865819990634918,768
CLIP-B32,sun397,1,0.8597206920385361,0.0019668638706207275,0.14224617183208466,768
CLIP-B32,sun397,2,0.8445655507966876,0.0019459975883364677,0.15738044679164886,768
CLIP-B32,sun397,3,0.8219947579782456,0.0019222709815949202,0.1799275130033493,768
CLIP-B32,sun397,4,0.808300459291786,0.0018931864760816097,0.19359272718429565,768
CLIP-B32,sun397,5,0.7896537376800552,0.0018508328357711434,0.21219709515571594,768
CLIP-B32,sun397,6,0.7869139498798177,0.0018059647409245372,0.21489201486110687,768
CLIP-B32,sun397,7,0.7815057386178523,0.001752485753968358,0.22024674713611603,768
CLIP-B32,sun397,8,0.7476289505138993,0.0016659731045365334,0.2540370225906372,768
CLIP-B32,sun397,9,0.7286062716739252,0.0015506624476984143,0.2729443907737732,768
CLIP-B32,sun397,10,0.7207170494366437,0.0015510686207562685,0.28083401918411255,768
CLIP-B32,sun397,11,0.7602550382725894,0.0015798206441104412,0.241324782371521,768
