model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,sun397,0,0.86263208813034,0.0023136509116739035,0.13968156278133392,384
DINOv2-S,sun397,1,0.8620281231123954,0.002334536286070943,0.14030641317367554,384
DINOv2-S,sun397,2,0.8541906515602022,0.002301533007994294,0.14811088144779205,384
DINOv2-S,sun397,3,0.822892700554803,0.002252807142212987,0.17936010658740997,384
DINOv2-S,sun397,4,0.8125885529443622,0.002201552502810955,0.1896129995584488,384
DINOv2-S,sun397,5,0.8197896778583527,0.0021674036979675293,0.18237772583961487,384
DINOv2-S,sun397,6,0.818308632588014,0.0021343936678022146,0.1838257610797882,384
DINOv2-S,sun397,7,0.8020938532426953,0.002110411413013935,0.2000165581703186,384
DINOv2-S,sun397,8,0.7813019044697285,0.0020779408514499664,0.2207760363817215,384
DINOv2-S,sun397,9,0.8214362014550716,0.002040540101006627,0.18060433864593506,384
DINOv2-S,sun397,10,0.824286496033892,0.0019917988684028387,0.1777053028345108,384
DINOv2-S,sun397,11,0.32910728396382183,0.0018112653633579612,0.6727039813995361,384
