model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DeiT-B16,sun397,0,0.9268176010809839,0.002146144863218069,0.07532854378223419,768
DeiT-B16,sun397,1,0.8895996338687837,0.00195872550830245,0.11235909163951874,768
DeiT-B16,sun397,2,0.8680914697470143,0.0019339827122166753,0.13384251296520233,768
DeiT-B16,sun397,3,0.850162016111426,0.0019243526039645076,0.15176233649253845,768
DeiT-B16,sun397,4,0.8406040576519445,0.0019154754700139165,0.16131141781806946,768
DeiT-B16,sun397,5,0.8282384158810601,0.0018947453936561942,0.17365632951259613,768
DeiT-B16,sun397,6,0.7862103172810748,0.0018627234967425466,0.21565240621566772,768
DeiT-B16,sun397,7,0.7322790427133441,0.001829187385737896,0.2695501446723938,768
DeiT-B16,sun397,8,0.6517109440173954,0.0017962323036044836,0.3500852882862091,768
DeiT-B16,sun397,9,0.5597710116999224,0.0017235978739336133,0.44195258617401123,768
DeiT-B16,sun397,10,0.6243995467666537,0.001667533302679658,0.377267986536026,768
DeiT-B16,sun397,11,0.7739566285163164,0.0016627628356218338,0.22770613431930542,768
