model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,sun397,0,0.9170104770455509,0.0019892884884029627,0.08497881144285202,768
MAE-B16,sun397,1,0.9182518471498042,0.0019734103698283434,0.08372156322002411,768
MAE-B16,sun397,2,0.9119696212001145,0.0019657728262245655,0.08999615162611008,768
MAE-B16,sun397,3,0.9051008948590606,0.001955194165930152,0.0968542993068695,768
MAE-B16,sun397,4,0.8948662898037583,0.0019429943058639765,0.10707670450210571,768
MAE-B16,sun397,5,0.8846822453197092,0.0019282919820398092,0.11724604666233063,768
MAE-B16,sun397,6,0.8734481610590592,0.001906988793052733,0.12845882773399353,768
MAE-B16,sun397,7,0.8565570818027481,0.0018808202585205436,0.1453237384557724,768
MAE-B16,sun397,8,0.8337866591755301,0.0018472152296453714,0.1680605560541153,768
MAE-B16,sun397,9,0.813807635451667,0.001823766971938312,0.1880161315202713,768
MAE-B16,sun397,10,0.7981746688019484,0.001818095101043582,0.20364342629909515,768
MAE-B16,sun397,11,0.7975717313820496,0.001818863325752318,0.2042471319437027,768
