model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,sun397,0,0.9208069192245603,0.002029706723988056,0.0812227874994278,768
ViT-IN21k-B16,sun397,1,0.8978155098157004,0.0019469998078420758,0.10413148999214172,768
ViT-IN21k-B16,sun397,2,0.8689945230726153,0.0019233713392168283,0.13292884826660156,768
ViT-IN21k-B16,sun397,3,0.8418636629357934,0.0019116559997200966,0.1600479930639267,768
ViT-IN21k-B16,sun397,4,0.816376015311107,0.001892223721370101,0.18551620841026306,768
ViT-IN21k-B16,sun397,5,0.7898982360493392,0.0018719329964369535,0.21197369694709778,768
ViT-IN21k-B16,sun397,6,0.7675493001006544,0.001852461602538824,0.23430316150188446,768
ViT-IN21k-B16,sun397,7,0.7381060278275982,0.001829013810493052,0.2637229859828949,768
ViT-IN21k-B16,sun397,8,0.7118386320071295,0.0018020860152319074,0.2899634540081024,768
ViT-IN21k-B16,sun397,9,0.6702417528722435,0.001755038509145379,0.33151328563690186,768
ViT-IN21k-B16,sun397,10,0.5765883852727711,0.0016267229802906513,0.42503833770751953,768
ViT-IN21k-B16,sun397,11,0.6723437692271546,0.0014547492610290647,0.3291109800338745,768
